Event ID,Time Slice,Gamma ID,Node(detector),X,Y,Z,Time,Edep,type,Gamma Source
1,0,1,0,52.51,-34.69,-38.83,2.7509991893719738e-05,0.3372,compt,Annihilation
2,0,1,0,54.0,35.16,20.76,6.468170986816178e-05,0.1167,compt,Annihilation
2,0,1,0,69.1,38.39,21.88,6.468176152601663e-05,0.5394,compt,Annihilation
2,0,1,0,62.77,41.38,6.015,6.468182002209158e-05,0.1054,compt,Annihilation
2,0,1,0,67.64,39.25,6.29,6.468183780571962e-05,0.1476,phot,Annihilation
5,0,1,1,-74.05,-34.03,67.71,0.0001388001134929087,0.1706,compt,Annihilation
7,0,1,0,62.73,-19.31,-54.54,0.00024133181477891454,0.6914,compt,Annihilation
7,0,1,0,62.73,-19.31,-54.54,0.00024133181478075774,0.07896,compt,Annihilation
7,0,1,0,61.91,-17.74,-57.6,0.00024133182656266403,0.1386,phot,Annihilation
8,0,1,1,-45.28,39.41,51.83,0.0002453720364119573,0.4746,compt,Annihilation
9,0,1,1,-45.74,-61.47,-31.87,0.00026009075988878914,0.2909,compt,Annihilation
12,0,1,1,-73.1,7.883,-39.28,0.00035296225380676625,0.5505,compt,Annihilation
12,0,1,1,-83.82,10.02,-25.26,0.00035296231312217507,0.3585,phot,Annihilation
15,0,1,0,54.67,60.68,27.56,0.00044286558892183455,0.5366,compt,Annihilation
15,0,1,0,61.09,54.1,37.99,0.00044286563531574296,0.3724,phot,Annihilation
17,0,1,1,-69.77,33.53,-84.05,0.0005088149087400304,0.1279,compt,Annihilation
22,0,1,0,68.33,-1.672,-57.92,0.0006794475365620909,0.3808,compt,Annihilation
24,0,1,1,-76.79,43.89,-7.258,0.000712775172628182,0.6385,compt,Annihilation
24,0,1,1,-75.99,44.58,-6.557,0.0007127751768748933,0.2705,phot,Annihilation
27,0,1,0,58.49,17.37,15.21,0.0007938642967123457,0.4243,compt,Annihilation
27,0,1,0,60.71,29.36,22.99,0.0007938643449613828,0.01867,compt,Annihilation
27,0,1,0,60.55,53.24,30.12,0.0007938644280729826,0.2758,compt,Annihilation
27,0,1,0,67.29,45.34,39.37,0.0007938644744733518,0.1902,phot,Annihilation
30,0,1,0,75.07,4.089,44.51,0.0008223064550489964,0.2917,compt,Annihilation
32,0,1,0,67.57,17.72,-1.161,0.0008750573709043671,0.5638,compt,Annihilation
32,0,1,0,69.4,16.9,-18.78,0.0008750574300646475,0.07351,compt,Annihilation
32,0,1,0,68.74,15.56,-19.92,0.0008750574363211446,0.02421,compt,Annihilation
32,0,1,0,68.73,15.55,-19.92,0.0008750574364089947,0.0239,compt,Annihilation
32,0,1,0,67.98,15.43,-19.78,0.0008750574389647728,0.03916,compt,Annihilation
32,0,1,0,67.49,15.05,-18.59,0.000875057443448768,0.1845,phot,Annihilation
39,0,1,1,-48.57,-74.7,-97.94,0.0011166165098709592,0.265,compt,Annihilation
43,0,1,0,67.31,43.27,5.823,0.0012427286089691713,0.01254,compt,Annihilation
45,0,1,0,52.61,57.79,93.45,0.001274636027881376,0.7078,compt,Annihilation
45,0,1,0,50.75,56.37,90.6,0.0012746360402076226,0.2012,phot,Annihilation
46,0,1,1,-61.77,-32.91,43.52,0.00128965474919884,0.3238,compt,Annihilation
46,0,1,1,-66.2,-42.64,44.25,0.001289654784966073,0.5852,phot,Annihilation
49,0,1,1,-50.21,-43.62,62.45,0.0013749524654720685,0.04203,compt,Annihilation
49,0,1,1,-54.36,-48.95,72.2,0.001374952505038859,0.1892,compt,Annihilation
49,0,1,1,-48.46,-55.72,88.54,0.0013749525672173348,0.4531,compt,Annihilation
49,0,1,1,-50.31,-57.97,85.78,0.0013749525805864646,0.02357,compt,Annihilation
